phase,epoch,img_size,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_mel_recall,epoch_time,val_akiec_recall,val_bcc_recall,val_bkl_recall,val_df_recall,val_nv_recall,val_vasc_recall
phase1,1,128,1.720228555825872,0.41227064220183485,0.23744557854728202,1.4367155947822192,0.40796344647519583,0.28422522779418113,0.35260115606936415,49.04322695732117,0.22641509433962265,0.32926829268292684,0.075,0.875,0.46660117878192536,0.7727272727272727
phase1,2,128,1.5311770089175722,0.4625860091743119,0.2802625656559504,1.1407058301233437,0.5848563968668408,0.35897642326908974,0.5086705202312138,45.99245500564575,0.7924528301886793,0.14634146341463414,0.35,0.16666666666666666,0.6758349705304518,0.2727272727272727
phase1,3,128,1.5054297110903154,0.4849483944954128,0.2969313308817277,1.3036985608989826,0.4954308093994778,0.32052497613511666,0.5722543352601156,45.62953805923462,0.11320754716981132,0.6219512195121951,0.25625,0.6666666666666666,0.5235756385068763,0.5909090909090909
phase1,4,128,1.427291157869024,0.494552752293578,0.31313838612548467,1.0331081653077048,0.6253263707571801,0.4097418925714596,0.6127167630057804,45.38313007354736,0.5660377358490566,0.4146341463414634,0.375,0.20833333333333334,0.6984282907662083,0.5454545454545454
phase1,5,128,1.4284375772016857,0.49655963302752293,0.31081713726844556,1.091572419159095,0.5907310704960835,0.3655226693232702,0.37572254335260113,45.2893226146698,0.7169811320754716,0.1951219512195122,0.275,0.5,0.7082514734774067,0.4090909090909091
phase2,1,192,1.2730091653012354,0.5481651376146789,0.3713625769572956,0.7238411038491496,0.7088772845953003,0.5572032609175023,0.7225433526011561,50.720240354537964,0.37735849056603776,0.8536585365853658,0.36875,0.6666666666666666,0.7671905697445972,0.6818181818181818
phase2,2,192,0.9926395898838656,0.6328841743119266,0.46497745873283153,0.8578758501197277,0.6690600522193212,0.5581958397586009,0.7456647398843931,51.111492395401,0.41509433962264153,0.5487804878048781,0.7125,0.7916666666666666,0.6660117878192534,0.8181818181818182
phase2,3,192,0.9216876116094239,0.6619839449541285,0.5048846549343784,0.8387883273257288,0.6684073107049608,0.5378918469445282,0.5722543352601156,50.84764909744263,0.6415094339622641,0.8902439024390244,0.59375,0.5416666666666666,0.6797642436149313,0.8181818181818182
phase2,4,192,0.8925873385656864,0.6584002293577982,0.5165632115621251,0.8564174226618934,0.70822454308094,0.5191285367661187,0.4682080924855491,50.49701642990112,0.4716981132075472,0.4878048780487805,0.5875,0.9583333333333334,0.7946954813359528,0.5909090909090909
phase2,5,192,0.8283967880891003,0.6844896788990825,0.5304998973624818,0.7323891183959598,0.7323759791122716,0.6073614211470344,0.7398843930635838,50.03419756889343,0.6792452830188679,0.7439024390243902,0.59375,0.6666666666666666,0.7583497053045186,0.6363636363636364
phase2,6,192,0.7775802742860732,0.6896502293577982,0.5584002819165097,0.851948622448793,0.6710182767624021,0.5691016152241165,0.5953757225433526,51.5319242477417,0.49056603773584906,0.6463414634146342,0.7875,0.4166666666666667,0.6827111984282908,0.6818181818181818
phase2,7,192,0.750578628767521,0.7034116972477065,0.5691723159744171,0.76219809815949,0.6951697127937336,0.6011499791233083,0.8554913294797688,51.52775239944458,0.5849056603773585,0.7560975609756098,0.575,0.375,0.6964636542239686,0.6363636363636364
phase3,1,224,0.6251418981530251,0.7434059633027523,0.6493212253274716,0.557382283523173,0.793733681462141,0.6812023565674917,0.6936416184971098,54.631139039993286,0.6792452830188679,0.7804878048780488,0.6625,0.6666666666666666,0.8408644400785854,0.8181818181818182
phase3,2,224,0.5752349183510203,0.7643348623853211,0.6711451201382707,0.5643004910927996,0.8080939947780679,0.6847857494043319,0.6358381502890174,54.25297975540161,0.5849056603773585,0.7804878048780488,0.71875,0.875,0.862475442043222,0.8636363636363636
phase3,3,224,0.5150432836503611,0.7639048165137615,0.684487091314864,0.5363401158788186,0.8126631853785901,0.7129550779862638,0.7514450867052023,53.35578107833862,0.7924528301886793,0.7926829268292683,0.63125,0.75,0.8555992141453831,0.8181818181818182
phase3,4,224,0.4986928956702762,0.7782396788990825,0.7060324107016058,0.5640418896884426,0.7904699738903395,0.6829211330858161,0.7167630057803468,54.21386504173279,0.6981132075471698,0.8170731707317073,0.725,0.6666666666666666,0.8212180746561886,0.6818181818181818
phase3,5,224,0.4982473482505991,0.7788130733944955,0.7064630742516286,0.5466582274682061,0.814621409921671,0.7020752085330407,0.7052023121387283,56.61886382102966,0.7358490566037735,0.8170731707317073,0.6625,0.7916666666666666,0.8634577603143418,0.7272727272727273
phase3,6,224,0.43347455198885104,0.7907110091743119,0.7270488710891615,0.5901116702229018,0.806135770234987,0.6889583077457274,0.6127167630057804,54.81156039237976,0.6981132075471698,0.7804878048780488,0.7,0.7083333333333334,0.8673870333988212,0.7272727272727273
phase3,7,224,0.45472067628705176,0.7868405963302753,0.7103600981474809,0.5599966547488389,0.8172323759791122,0.6800400365309107,0.5895953757225434,54.94722390174866,0.5471698113207547,0.8414634146341463,0.7125,0.75,0.8899803536345776,0.6363636363636364
phase3,8,224,0.44410293768031883,0.8031823394495413,0.7349060124889437,0.5932326208965429,0.8159268929503917,0.6882057397556502,0.6878612716763006,54.90049719810486,0.6415094339622641,0.8536585365853658,0.66875,0.875,0.8683693516699411,0.6818181818181818
